"_id","location.address.city","location.address.state","location.address.street1","location.address.street2","location.address.zipcode","location.geo.type","theaterId"
"59a47287cfa9a3a73e51e9e7","Flint","MI","3341 S. Linden Rd","Space 270","48507","Point",2799
"59a47287cfa9a3a73e51e9e8","Hickory","NC","1960 Hwy 70","#236","28602","Point",2798
"59a47287cfa9a3a73e51e9e9","Appleton","WI","4240 W Wisconsin Ave","","54913","Point",27
"59a47287cfa9a3a73e51e9ea","North Olmsted","OH","5140 Great Northern Plz S","","44070","Point",279
"59a47287cfa9a3a73e51e9eb","Canton","OH","4230 Belden Village Mall","#A13A","44718","Point",2790
"59a47287cfa9a3a73e51e9ec","Portage","MI","6650 S. Westnedge Avenue","#209","49024","Point",2800
"59a47287cfa9a3a73e51e9ed","State College","PA","2901 East College Ave.","#603","16801","Point",2811
"59a47287cfa9a3a73e51e9ee","Midland","TX","2511 W Loop 250 N","","79705","Point",280
"59a47287cfa9a3a73e51e9ef","Strongsville","OH","500 Southpark Center","Ste EL520","44136","Point",2804
"59a47287cfa9a3a73e51e9f0","Champaign","IL","2000 North Neil St.","#608","61820","Point",2805
"59a47287cfa9a3a73e51e9f1","Christianburg","VA","782 New River Rd","#750","24073","Point",2808
"59a47287cfa9a3a73e51e9f2","Charlottesville","VA","1600 East Rio Rd","#1516","22901","Point",2807
"59a47287cfa9a3a73e51e9f3","Camp Hill","PA","3537 Capital City Mall Drive","#632","17011","Point",2809
"59a47287cfa9a3a73e51e9f4","Mankato","MN","1850 Adams Street","#430","56001","Point",2792
"59a47287cfa9a3a73e51e9f5","Troy","MI","412 W. 14 Mile Rd.","#860","48083","Point",2812
"59a47287cfa9a3a73e51e9f6","Kingston","NY","1300 Ulster Avenue","#L03","12401","Point",2813
"59a47287cfa9a3a73e51e9f7","Victor","NY","210 Eastview Mall","","14564","Point",2803
"59a47287cfa9a3a73e51e9f8","Hagerstown","MD","17301 Valley Mall Road","#538","21740","Point",2810
"59a47287cfa9a3a73e51e9f9","York","PA","2899 Whiteford Road","Space #176","17402","Point",2814
"59a47287cfa9a3a73e51e9fa","Okemos","MI","1982 W. Grand River Avenue","#359A","48864","Point",2817
"59a47287cfa9a3a73e51e9fb","St. Louis","MO","18 South County Center Way","#73","63129","Point",2815
"59a47287cfa9a3a73e51e9fc","Plymouth Meeting","PA","500 W. Germantown Pike","#1300","19462","Point",2818
"59a47287cfa9a3a73e51e9fd","Baltimore","MD","1701 Belmont Ave","","21244","Point",282
"59a47287cfa9a3a73e51e9fe","Richfield","MN","1000 West 78th St.","","55423","Point",281
"59a47287cfa9a3a73e51e9ff","Midland","MI","6800 Eastman Avenue","#D412","48642","Point",2820
"59a47287cfa9a3a73e51ea00","Fort Myers","FL","4125 Cleveland Street","#1540","33901","Point",2821
"59a47287cfa9a3a73e51ea01","Fresno","CA","541 East Shaw Avenue","","93710","Point",2822
"59a47287cfa9a3a73e51ea02","Florence","KY","2823 Florence Mall","#2148","41042","Point",2823
"59a47287cfa9a3a73e51ea03","Franklin","TN","1800 Galleria Blvd","Ste 2100","37067","Point",2824
"59a47287cfa9a3a73e51ea04","Auburn Hills","MI","4000 Baldwin Rd.","#800","48326","Point",2825
"59a47287cfa9a3a73e51ea05","West Des Moines","IA","101 Jordan Creek Pkwy","Ste. 12060","50266","Point",2828
"59a47287cfa9a3a73e51ea06","Daly City","CA","125 Serramonte Center","#639","94015","Point",2819
"59a47287cfa9a3a73e51ea07","Vancouver","WA","8700 NE Vancouver Mall Drive","#147","98662","Point",2830
"59a47287cfa9a3a73e51ea08","Seattle","WA","401 NE Northgate Way","#765","98125","Point",2831
"59a47287cfa9a3a73e51ea09","Louisville","KY","5000 Shelbyville Rd","#1760","40207","Point",2833
"59a47287cfa9a3a73e51ea0a","Monroe","LA","4700 Millhaven Road","#1442","71203","Point",2834
"59a47287cfa9a3a73e51ea0b","Bossier City","LA","2950 East Texas Street","#36","71111","Point",2835
"59a47287cfa9a3a73e51ea0c","Westland","MI","35000 Warren Rd.","Suite #531","48185","Point",2836
"59a47287cfa9a3a73e51ea0d","Hattiesburg","MS","1000 Turtle Creek Drive","#325","39402","Point",2849
"59a47287cfa9a3a73e51ea0e","Poughkeepsie","NY","2001 South Rd #209","","12601","Point",2838
"59a47287cfa9a3a73e51ea0f","Albany","NY","1 Crossgates Mall Road","#L101A","12203","Point",2841
"59a47287cfa9a3a73e51ea10","New Hartford","NY","8555 Seneca Tpke","#A12","13413","Point",2842
"59a47287cfa9a3a73e51ea11","Wauwatosa","WI","2500 N Mayfair Rd","Spc 614A","53226","Point",2845
"59a47287cfa9a3a73e51ea12","Holyoke","MA","50 Holyoke Street","Spc #B216","01040","Point",2843
"59a47287cfa9a3a73e51ea13","Houma","LA","5953 West Park Avenue","#3035","70364","Point",2848
"59a47287cfa9a3a73e51ea14","Lawton","OK","200 SW C Ave Suite 68","","73501","Point",2847
"59a47287cfa9a3a73e51ea15","Elyria","OH","6650 Midway Blvd","","44035","Point",284
"59a47287cfa9a3a73e51ea16","Syracuse","NY","9090 Destiny USA Drive","#E106","13204","Point",2850
"59a47287cfa9a3a73e51ea17","Falls Church","VA","5799 Leesburg Pike","","22041","Point",283
"59a47287cfa9a3a73e51ea18","Middletown","NY","1 N Galleria Dr","#D101","10941","Point",2851
"59a47287cfa9a3a73e51ea19","Nashua","NH","310 Daniel Webster Hwy","Ste. 200 Space W115A","03060","Point",2861
"59a47287cfa9a3a73e51ea1a","Lubbock","TX","6002 Slide Rd","","79414","Point",2854
"59a47287cfa9a3a73e51ea1b","Brownsville","TX","2370 N  Expressway","#1142","78521","Point",2855
"59a47287cfa9a3a73e51ea1c","Bellingham","WA","1 Bellis Fair Pkwy","Ste 326","98226","Point",2864
"59a47287cfa9a3a73e51ea1d","Amherst","NY","756 Alberta Drive","Ste. 459","14226","Point",2865
"59a47287cfa9a3a73e51ea1e","Tucson","AZ","4500 N Oracle Rd","Ste 128","85705","Point",2866
